N	variable	value
18	13	223.3964611
19	13	252.8908769
20	13	265.8883753
21	13	219.7660948
1	14	276.0331561
2	14	274.7317192
3	14	291.626298
4	14	207.1357302
5	14	262.2628292
7	14	247.2199862
8	14	250.5804248
9	14	257.0715421
10	14	225.2265063
12	14	240.496699
14	14	249.5264216
15	14	229.2762244
17	14	229.956667
18	14	179.2335661
19	14	249.4589397
20	14	263.0469047
21	14	257.9327398
1	15	315.0867062
2	15	252.41288
3	15	282.9974501
4	15	251.00058
5	15	234.0272723
8	15	238.9928164
9	15	240.0098652
10	15	171.1148494
12	15	276.6011289
16	15	252.1317054
17	15	276.5047261
18	15	176.1052975
19	15	265.526865
20	15	269.1395574
21	15	245.0308408
1	16	281.499191
2	16	264.7909908
5	16	235.3246924
7	16	275.2547041
8	16	244.1503626
9	16	247.1910654
12	16	225.0778854
13	16	251.4721501
16	16	265.1034964
17	16	240.7891206
18	16	238.5324933
19	16	250.7234222
1	17	350.8143621
2	17	280.7528732
3	17	285.0524351
4	17	258.7706402
6	17	219.1434939
7	17	229.0794021
8	17	267.6670057
9	17	262.6821811
10	17	197.4826033
12	17	239.5953335
13	17	234.7494895
16	17	254.0742205
18	17	238.1251918
19	17	219.4969705
20	17	259.1755317
1	18	303.7015436
3	18	305.1989993
4	18	241.791709
5	18	244.7552897
6	18	188.8850863
9	18	290.4558082
10	18	181.1921483
12	18	215.6874559
13	18	222.042806
16	18	264.1426825
17	18	252.5228595
20	18	253.5316016
1	19	306.0513602
3	19	347.0851831
4	19	217.1584009
5	19	254.7136919
6	19	234.3413846
7	19	283.9092593
8	19	245.495984
9	19	265.8690947
10	19	215.3548665
12	19	241.1907987
13	19	261.4578664
16	19	218.1336752
18	19	238.8546391
19	19	221.7479743
20	19	247.5557891
21	19	254.9779961
1	20	329.4402697
3	20	223.195622
4	20	249.951397
5	20	222.6943278
6	20	187.284801
7	20	266.40895
8	20	233.8232199
9	20	260.8047379
10	20	215.0407543
12	20	261.538202
13	20	239.8058128
16	20	248.1695531
18	20	254.6502268
20	20	263.6831628
21	20	237.7315473
1	21	279.285945
2	21	241.2534605
3	21	253.6781659
4	21	206.2150841
5	21	222.6027452
6	21	265.7405578
7	21	252.2425686
8	21	209.3682568
9	21	250.2735428
10	21	245.7972426
13	21	185.2884611
16	21	243.1975822
18	21	172.6018615
19	21	303.6147811
20	21	252.976836
1	22	288.3034405
2	22	286.9080109
3	22	282.6357632
4	22	274.2406919
5	22	264.5972053
6	22	260.9250645
7	22	250.2042774
8	22	257.9992416
9	22	252.1845502
10	22	233.028524
13	22	191.4741263
16	22	258.4700083
18	22	232.9899629
19	22	232.2645323
20	22	240.9303346
21	22	212.8385784
1	23	316.0224393
3	23	285.4226055
4	23	270.9147977
5	23	221.1468872
6	23	213.5109875
7	23	281.5488224
8	23	266.1195651
9	23	207.8449169
10	23	210.5257162
13	23	229.8134928
16	23	283.9396101
18	23	242.9025738
19	23	261.0206639
20	23	217.9471199
21	23	247.0952893
1	24	266.868293
3	24	279.2134662
4	24	192.3947724
5	24	218.9689888
6	24	254.471705
7	24	265.2447103
8	24	281.3576236
9	24	229.0527146
10	24	186.6266756
13	24	258.6965547
16	24	264.0035251
19	24	248.4553712
20	24	241.2934515
21	24	193.4793031
1	25	269.5659628
3	25	250.0018317
5	25	210.998893
7	25	301.0888528
8	25	263.8324103
9	25	217.8001057
10	25	232.9465816
16	25	219.2742642
18	25	227.5367817
19	25	203.6064101
20	25	249.3061253
21	25	227.4741199
1	26	334.7173392
3	26	285.7977728
4	26	207.6031067
5	26	262.2771129
6	26	231.9022187
7	26	229.94685
8	26	293.2505073
9	26	208.7535127
10	26	232.5995318
16	26	244.8322351
18	26	265.0294109
19	26	240.5864982
20	26	255.6791492
21	26	184.9789922
1	27	299.7642953
3	27	264.1113516
4	27	225.3863741
5	27	266.2177513
6	27	228.8134912
7	27	303.1424077
8	27	286.1948074
9	27	238.9173009
10	27	231.0781521
16	27	290.3682424
18	27	299.1906991
19	27	248.9439884
20	27	258.1729433
21	27	227.2429301
