Gene	Organism	Annotation	Full	Condition	Time	Replicate	Zval
OQV12233.1	H.exemplaris	E74	Dev.B1.1	Dev	B1	1	-0.178938813125687
OQV14243.1	H.exemplaris	HR4	Dev.B1.1	Dev	B1	1	-0.267749827268119
OQV14677.1	H.exemplaris	EcR	Dev.B1.1	Dev	B1	1	2.95007712026278
OQV14742.1	H.exemplaris	E78	Dev.B1.1	Dev	B1	1	-0.455224345746608
OQV16526.1	H.exemplaris	CYP18A1	Dev.B1.1	Dev	B1	1	-0.271856502397516
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B1.1	Dev	B1	1	-0.592858368159
OQV18794.1	H.exemplaris	USP	Dev.B1.1	Dev	B1	1	-0.669491128545603
OQV18795.1	H.exemplaris	USP	Dev.B1.1	Dev	B1	1	2.09842473425575
OQV18927.1	H.exemplaris	E75	Dev.B1.1	Dev	B1	1	0.502833194216865
OQV21685.1	H.exemplaris	Sad	Dev.B1.1	Dev	B1	1	-0.451894488021772
OWA50673.1	H.exemplaris	HR3	Dev.B1.1	Dev	B1	1	-0.349192951415816
OQV23446.1	H.exemplaris	EcR	Dev.B1.1	Dev	B1	1	0.172651602114661
g2273.t1	R.varieornatus	HR4	Dev.B1.1	Dev	B1	1	-1.13461255398352
g2400.t1	R.varieornatus	Sad	Dev.B1.1	Dev	B1	1	0.167703399758488
g4792.t1	R.varieornatus	bFtz-F1	Dev.B1.1	Dev	B1	1	-0.881415788181376
g6536.t1	R.varieornatus	HR3	Dev.B1.1	Dev	B1	1	-0.750027514556776
g7221.t1	R.varieornatus	E75	Dev.B1.1	Dev	B1	1	0.196540538433369
g10224.t1	R.varieornatus	E74	Dev.B1.1	Dev	B1	1	-0.851749282000842
g11712.t1	R.varieornatus	E78	Dev.B1.1	Dev	B1	1	-0.743306915977976
g11953.t1	R.varieornatus	USP	Dev.B1.1	Dev	B1	1	0.187767931229322
g11953.t2	R.varieornatus	USP	Dev.B1.1	Dev	B1	1	1.45965825481223
g12979.t1	R.varieornatus	EcR	Dev.B1.1	Dev	B1	1	-0.0406016961701934
g13718.t1	R.varieornatus	CYP18A1	Dev.B1.1	Dev	B1	1	-0.0578941495802654
g8354.t1	R.varieornatus	EcR	Dev.B1.1	Dev	B1	1	-0.686700620459996
OQV12233.1	H.exemplaris	E74	Dev.B1.2	Dev	B1	2	-0.253140326639213
OQV14243.1	H.exemplaris	HR4	Dev.B1.2	Dev	B1	2	-0.26277257917595
OQV14677.1	H.exemplaris	EcR	Dev.B1.2	Dev	B1	2	0.98286433406891
OQV14742.1	H.exemplaris	E78	Dev.B1.2	Dev	B1	2	-0.453745959505329
OQV16526.1	H.exemplaris	CYP18A1	Dev.B1.2	Dev	B1	2	-0.0550487704128753
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B1.2	Dev	B1	2	-0.619575324491586
OQV18794.1	H.exemplaris	USP	Dev.B1.2	Dev	B1	2	-0.0230718265034381
OQV18795.1	H.exemplaris	USP	Dev.B1.2	Dev	B1	2	0.772147953237089
OQV18927.1	H.exemplaris	E75	Dev.B1.2	Dev	B1	2	0.172002518859074
OQV21685.1	H.exemplaris	Sad	Dev.B1.2	Dev	B1	2	-0.837779621398441
OWA50673.1	H.exemplaris	HR3	Dev.B1.2	Dev	B1	2	-0.354086930029337
OQV23446.1	H.exemplaris	EcR	Dev.B1.2	Dev	B1	2	0.359632674789948
g2273.t1	R.varieornatus	HR4	Dev.B1.2	Dev	B1	2	-1.07688791920757
g2400.t1	R.varieornatus	Sad	Dev.B1.2	Dev	B1	2	-0.141381294674345
g4792.t1	R.varieornatus	bFtz-F1	Dev.B1.2	Dev	B1	2	-0.80703526870074
g6536.t1	R.varieornatus	HR3	Dev.B1.2	Dev	B1	2	-0.738326989831573
g7221.t1	R.varieornatus	E75	Dev.B1.2	Dev	B1	2	0.472876552784205
g10224.t1	R.varieornatus	E74	Dev.B1.2	Dev	B1	2	-0.808779983198624
g11712.t1	R.varieornatus	E78	Dev.B1.2	Dev	B1	2	-0.648341236029117
g11953.t1	R.varieornatus	USP	Dev.B1.2	Dev	B1	2	0.380755404341108
g11953.t2	R.varieornatus	USP	Dev.B1.2	Dev	B1	2	0.415936835672759
g12979.t1	R.varieornatus	EcR	Dev.B1.2	Dev	B1	2	-0.0457782112203704
g13718.t1	R.varieornatus	CYP18A1	Dev.B1.2	Dev	B1	2	0.240418023424931
g8354.t1	R.varieornatus	EcR	Dev.B1.2	Dev	B1	2	-0.679397009836604
OQV12233.1	H.exemplaris	E74	Dev.B1.3	Dev	B1	3	-0.455408871513965
OQV14243.1	H.exemplaris	HR4	Dev.B1.3	Dev	B1	3	-0.434352862516697
OQV14677.1	H.exemplaris	EcR	Dev.B1.3	Dev	B1	3	-0.198981846309147
OQV14742.1	H.exemplaris	E78	Dev.B1.3	Dev	B1	3	-0.458625293070726
OQV16526.1	H.exemplaris	CYP18A1	Dev.B1.3	Dev	B1	3	-0.756449769485174
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B1.3	Dev	B1	3	-0.622258220988391
OQV18794.1	H.exemplaris	USP	Dev.B1.3	Dev	B1	3	-0.669491128545603
OQV18795.1	H.exemplaris	USP	Dev.B1.3	Dev	B1	3	-0.120500515260306
OQV18927.1	H.exemplaris	E75	Dev.B1.3	Dev	B1	3	-0.5178553784389
OQV21685.1	H.exemplaris	Sad	Dev.B1.3	Dev	B1	3	-1.0531486196451
OWA50673.1	H.exemplaris	HR3	Dev.B1.3	Dev	B1	3	-0.354390050603035
OQV23446.1	H.exemplaris	EcR	Dev.B1.3	Dev	B1	3	-0.513074444926886
g2273.t1	R.varieornatus	HR4	Dev.B1.3	Dev	B1	3	-1.13321707520606
g2400.t1	R.varieornatus	Sad	Dev.B1.3	Dev	B1	3	0.0802496799139392
g4792.t1	R.varieornatus	bFtz-F1	Dev.B1.3	Dev	B1	3	-0.885701353512464
g6536.t1	R.varieornatus	HR3	Dev.B1.3	Dev	B1	3	-0.749833159743825
g7221.t1	R.varieornatus	E75	Dev.B1.3	Dev	B1	3	-0.277293766774776
g10224.t1	R.varieornatus	E74	Dev.B1.3	Dev	B1	3	-0.962595326680303
g11712.t1	R.varieornatus	E78	Dev.B1.3	Dev	B1	3	-0.761243530596731
g11953.t1	R.varieornatus	USP	Dev.B1.3	Dev	B1	3	1.27210599588295
g11953.t2	R.varieornatus	USP	Dev.B1.3	Dev	B1	3	-0.84571625012768
g12979.t1	R.varieornatus	EcR	Dev.B1.3	Dev	B1	3	0.0628505108562993
g13718.t1	R.varieornatus	CYP18A1	Dev.B1.3	Dev	B1	3	0.64448540328167
g8354.t1	R.varieornatus	EcR	Dev.B1.3	Dev	B1	3	-0.717621541889051
OQV12233.1	H.exemplaris	E74	Dev.B2.1	Dev	B2	1	-0.421679941316336
OQV14243.1	H.exemplaris	HR4	Dev.B2.1	Dev	B2	1	-0.408116735625535
OQV14677.1	H.exemplaris	EcR	Dev.B2.1	Dev	B2	1	-0.100406338023818
OQV14742.1	H.exemplaris	E78	Dev.B2.1	Dev	B2	1	-0.452156214877368
OQV16526.1	H.exemplaris	CYP18A1	Dev.B2.1	Dev	B2	1	-0.454382623295864
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B2.1	Dev	B2	1	-0.630112295474691
OQV18794.1	H.exemplaris	USP	Dev.B2.1	Dev	B2	1	-0.66767129371856
OQV18795.1	H.exemplaris	USP	Dev.B2.1	Dev	B2	1	-0.147322885106983
OQV18927.1	H.exemplaris	E75	Dev.B2.1	Dev	B2	1	-0.584282348074862
OQV21685.1	H.exemplaris	Sad	Dev.B2.1	Dev	B2	1	-1.11200964903015
OWA50673.1	H.exemplaris	HR3	Dev.B2.1	Dev	B2	1	-0.353266406681097
OQV23446.1	H.exemplaris	EcR	Dev.B2.1	Dev	B2	1	-0.452982386644899
g2273.t1	R.varieornatus	HR4	Dev.B2.1	Dev	B2	1	-1.14549191727419
g2400.t1	R.varieornatus	Sad	Dev.B2.1	Dev	B2	1	-0.113615126961711
g4792.t1	R.varieornatus	bFtz-F1	Dev.B2.1	Dev	B2	1	-0.803434956891581
g6536.t1	R.varieornatus	HR3	Dev.B2.1	Dev	B2	1	-0.746235163561222
g7221.t1	R.varieornatus	E75	Dev.B2.1	Dev	B2	1	-1.26712097224806
g10224.t1	R.varieornatus	E74	Dev.B2.1	Dev	B2	1	-0.965870662051588
g11712.t1	R.varieornatus	E78	Dev.B2.1	Dev	B2	1	-0.616579462111745
g11953.t1	R.varieornatus	USP	Dev.B2.1	Dev	B2	1	-1.25569163170387
g11953.t2	R.varieornatus	USP	Dev.B2.1	Dev	B2	1	-0.409618917542624
g12979.t1	R.varieornatus	EcR	Dev.B2.1	Dev	B2	1	-1.06960140662943
g13718.t1	R.varieornatus	CYP18A1	Dev.B2.1	Dev	B2	1	-0.456650930068154
g8354.t1	R.varieornatus	EcR	Dev.B2.1	Dev	B2	1	-0.750474241909814
OQV12233.1	H.exemplaris	E74	Dev.B2.2	Dev	B2	2	-0.409328113821412
OQV14243.1	H.exemplaris	HR4	Dev.B2.2	Dev	B2	2	-0.419451226059212
OQV14677.1	H.exemplaris	EcR	Dev.B2.2	Dev	B2	2	-0.37994859756301
OQV14742.1	H.exemplaris	E78	Dev.B2.2	Dev	B2	2	-0.469436237722481
OQV16526.1	H.exemplaris	CYP18A1	Dev.B2.2	Dev	B2	2	-0.64605196191869
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B2.2	Dev	B2	2	-0.567887201592914
OQV18794.1	H.exemplaris	USP	Dev.B2.2	Dev	B2	2	0.428470512214167
OQV18795.1	H.exemplaris	USP	Dev.B2.2	Dev	B2	2	-0.905311493696178
OQV18927.1	H.exemplaris	E75	Dev.B2.2	Dev	B2	2	-0.679249241441291
OQV21685.1	H.exemplaris	Sad	Dev.B2.2	Dev	B2	2	-1.02629530177684
OWA50673.1	H.exemplaris	HR3	Dev.B2.2	Dev	B2	2	-0.352841605050494
OQV23446.1	H.exemplaris	EcR	Dev.B2.2	Dev	B2	2	-0.506769736166681
g2273.t1	R.varieornatus	HR4	Dev.B2.2	Dev	B2	2	-1.17646973293509
g2400.t1	R.varieornatus	Sad	Dev.B2.2	Dev	B2	2	-0.21319793731756
g4792.t1	R.varieornatus	bFtz-F1	Dev.B2.2	Dev	B2	2	-0.868116990792612
g6536.t1	R.varieornatus	HR3	Dev.B2.2	Dev	B2	2	-0.748547964172524
g7221.t1	R.varieornatus	E75	Dev.B2.2	Dev	B2	2	-1.32289743743147
g10224.t1	R.varieornatus	E74	Dev.B2.2	Dev	B2	2	-0.990095145833249
g11712.t1	R.varieornatus	E78	Dev.B2.2	Dev	B2	2	-0.693548005921733
g11953.t1	R.varieornatus	USP	Dev.B2.2	Dev	B2	2	-1.22780602603851
g11953.t2	R.varieornatus	USP	Dev.B2.2	Dev	B2	2	-0.697756716061344
g12979.t1	R.varieornatus	EcR	Dev.B2.2	Dev	B2	2	-1.1837245978057
g13718.t1	R.varieornatus	CYP18A1	Dev.B2.2	Dev	B2	2	-0.50885345730297
g8354.t1	R.varieornatus	EcR	Dev.B2.2	Dev	B2	2	-0.756908084768372
OQV12233.1	H.exemplaris	E74	Dev.B2.3	Dev	B2	3	-0.510970262981069
OQV14243.1	H.exemplaris	HR4	Dev.B2.3	Dev	B2	3	-0.434352862516697
OQV14677.1	H.exemplaris	EcR	Dev.B2.3	Dev	B2	3	-0.57806234862521
OQV14742.1	H.exemplaris	E78	Dev.B2.3	Dev	B2	3	-0.464804247126865
OQV16526.1	H.exemplaris	CYP18A1	Dev.B2.3	Dev	B2	3	-0.778634619842195
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B2.3	Dev	B2	3	-0.619906361507597
OQV18794.1	H.exemplaris	USP	Dev.B2.3	Dev	B2	3	-0.668872557951646
OQV18795.1	H.exemplaris	USP	Dev.B2.3	Dev	B2	3	-0.247130942194519
OQV18927.1	H.exemplaris	E75	Dev.B2.3	Dev	B2	3	-0.876115284521266
OQV21685.1	H.exemplaris	Sad	Dev.B2.3	Dev	B2	3	-0.747888724427971
OWA50673.1	H.exemplaris	HR3	Dev.B2.3	Dev	B2	3	-0.356279684880109
OQV23446.1	H.exemplaris	EcR	Dev.B2.3	Dev	B2	3	-0.495080476557791
g2273.t1	R.varieornatus	HR4	Dev.B2.3	Dev	B2	3	-1.12552688895965
g2400.t1	R.varieornatus	Sad	Dev.B2.3	Dev	B2	3	-0.348501372290199
g4792.t1	R.varieornatus	bFtz-F1	Dev.B2.3	Dev	B2	3	-0.864424049601954
g6536.t1	R.varieornatus	HR3	Dev.B2.3	Dev	B2	3	-0.746564110083225
g7221.t1	R.varieornatus	E75	Dev.B2.3	Dev	B2	3	-1.04521359181408
g10224.t1	R.varieornatus	E74	Dev.B2.3	Dev	B2	3	-1.01265383767567
g11712.t1	R.varieornatus	E78	Dev.B2.3	Dev	B2	3	-0.684634107859744
g11953.t1	R.varieornatus	USP	Dev.B2.3	Dev	B2	3	-1.12132030885229
g11953.t2	R.varieornatus	USP	Dev.B2.3	Dev	B2	3	-1.09956627426777
g12979.t1	R.varieornatus	EcR	Dev.B2.3	Dev	B2	3	-1.10375636530641
g13718.t1	R.varieornatus	CYP18A1	Dev.B2.3	Dev	B2	3	-0.421271890363457
g8354.t1	R.varieornatus	EcR	Dev.B2.3	Dev	B2	3	-0.755808004667056
OQV12233.1	H.exemplaris	E74	Dev.B3.1	Dev	B3	1	-0.0732545769623971
OQV14243.1	H.exemplaris	HR4	Dev.B3.1	Dev	B3	1	-0.245995745780874
OQV14677.1	H.exemplaris	EcR	Dev.B3.1	Dev	B3	1	-0.552208220150473
OQV14742.1	H.exemplaris	E78	Dev.B3.1	Dev	B3	1	-0.347164877228401
OQV16526.1	H.exemplaris	CYP18A1	Dev.B3.1	Dev	B3	1	-0.358408841781602
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B3.1	Dev	B3	1	-0.570852694589532
OQV18794.1	H.exemplaris	USP	Dev.B3.1	Dev	B3	1	-0.664522126670173
OQV18795.1	H.exemplaris	USP	Dev.B3.1	Dev	B3	1	-0.215636288568099
OQV18927.1	H.exemplaris	E75	Dev.B3.1	Dev	B3	1	-0.382330361159346
OQV21685.1	H.exemplaris	Sad	Dev.B3.1	Dev	B3	1	-0.0572184925962012
OWA50673.1	H.exemplaris	HR3	Dev.B3.1	Dev	B3	1	-0.177812322243013
OQV23446.1	H.exemplaris	EcR	Dev.B3.1	Dev	B3	1	-0.184205576189912
g2273.t1	R.varieornatus	HR4	Dev.B3.1	Dev	B3	1	-0.542542537050769
g2400.t1	R.varieornatus	Sad	Dev.B3.1	Dev	B3	1	1.27799413175473
g4792.t1	R.varieornatus	bFtz-F1	Dev.B3.1	Dev	B3	1	-0.623339262408732
g6536.t1	R.varieornatus	HR3	Dev.B3.1	Dev	B3	1	-0.300943322340932
g7221.t1	R.varieornatus	E75	Dev.B3.1	Dev	B3	1	-0.511125964981276
g10224.t1	R.varieornatus	E74	Dev.B3.1	Dev	B3	1	-0.293030199695412
g11712.t1	R.varieornatus	E78	Dev.B3.1	Dev	B3	1	0.23928501338916
g11953.t1	R.varieornatus	USP	Dev.B3.1	Dev	B3	1	-0.545601813784063
g11953.t2	R.varieornatus	USP	Dev.B3.1	Dev	B3	1	-0.366295171618821
g12979.t1	R.varieornatus	EcR	Dev.B3.1	Dev	B3	1	0.323756910039418
g13718.t1	R.varieornatus	CYP18A1	Dev.B3.1	Dev	B3	1	-0.436570252492701
g8354.t1	R.varieornatus	EcR	Dev.B3.1	Dev	B3	1	0.0577812976624179
OQV12233.1	H.exemplaris	E74	Dev.B3.2	Dev	B3	2	-0.416111407080048
OQV14243.1	H.exemplaris	HR4	Dev.B3.2	Dev	B3	2	-0.325537923882182
OQV14677.1	H.exemplaris	EcR	Dev.B3.2	Dev	B3	2	-0.747272805819905
OQV14742.1	H.exemplaris	E78	Dev.B3.2	Dev	B3	2	-0.351740640723719
OQV16526.1	H.exemplaris	CYP18A1	Dev.B3.2	Dev	B3	2	-0.676746660323692
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B3.2	Dev	B3	2	-0.601506690085806
OQV18794.1	H.exemplaris	USP	Dev.B3.2	Dev	B3	2	-0.667333700125458
OQV18795.1	H.exemplaris	USP	Dev.B3.2	Dev	B3	2	-0.0591147819466866
OQV18927.1	H.exemplaris	E75	Dev.B3.2	Dev	B3	2	-0.537909924567874
OQV21685.1	H.exemplaris	Sad	Dev.B3.2	Dev	B3	2	-0.753339391256023
OWA50673.1	H.exemplaris	HR3	Dev.B3.2	Dev	B3	2	-0.185976230493829
OQV23446.1	H.exemplaris	EcR	Dev.B3.2	Dev	B3	2	-0.429346306296129
g2273.t1	R.varieornatus	HR4	Dev.B3.2	Dev	B3	2	-0.634641057346449
g2400.t1	R.varieornatus	Sad	Dev.B3.2	Dev	B3	2	2.6821078743921
g4792.t1	R.varieornatus	bFtz-F1	Dev.B3.2	Dev	B3	2	-0.250715728781632
g6536.t1	R.varieornatus	HR3	Dev.B3.2	Dev	B3	2	0.477377233742264
g7221.t1	R.varieornatus	E75	Dev.B3.2	Dev	B3	2	-0.511848236050549
g10224.t1	R.varieornatus	E74	Dev.B3.2	Dev	B3	2	-0.729195566619079
g11712.t1	R.varieornatus	E78	Dev.B3.2	Dev	B3	2	1.05985061288649
g11953.t1	R.varieornatus	USP	Dev.B3.2	Dev	B3	2	-0.948594352018663
g11953.t2	R.varieornatus	USP	Dev.B3.2	Dev	B3	2	0.096459018198625
g12979.t1	R.varieornatus	EcR	Dev.B3.2	Dev	B3	2	-0.117105902973188
g13718.t1	R.varieornatus	CYP18A1	Dev.B3.2	Dev	B3	2	-0.487310240829579
g8354.t1	R.varieornatus	EcR	Dev.B3.2	Dev	B3	2	-0.462228733875113
OQV12233.1	H.exemplaris	E74	Dev.B3.3	Dev	B3	3	-0.242763463498166
OQV14243.1	H.exemplaris	HR4	Dev.B3.3	Dev	B3	3	-0.281596271366808
OQV14677.1	H.exemplaris	EcR	Dev.B3.3	Dev	B3	3	-0.789001423844442
OQV14742.1	H.exemplaris	E78	Dev.B3.3	Dev	B3	3	-0.362521820700311
OQV16526.1	H.exemplaris	CYP18A1	Dev.B3.3	Dev	B3	3	-0.60106416659356
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B3.3	Dev	B3	3	-0.602171660892884
OQV18794.1	H.exemplaris	USP	Dev.B3.3	Dev	B3	3	-0.668520542602258
OQV18795.1	H.exemplaris	USP	Dev.B3.3	Dev	B3	3	-0.145696238161443
OQV18927.1	H.exemplaris	E75	Dev.B3.3	Dev	B3	3	-0.780110005452242
OQV21685.1	H.exemplaris	Sad	Dev.B3.3	Dev	B3	3	-0.621607029632058
OWA50673.1	H.exemplaris	HR3	Dev.B3.3	Dev	B3	3	-0.229117053506451
OQV23446.1	H.exemplaris	EcR	Dev.B3.3	Dev	B3	3	-0.419111020813796
g2273.t1	R.varieornatus	HR4	Dev.B3.3	Dev	B3	3	-0.986081730630906
g2400.t1	R.varieornatus	Sad	Dev.B3.3	Dev	B3	3	1.19393189719722
g4792.t1	R.varieornatus	bFtz-F1	Dev.B3.3	Dev	B3	3	-0.633715646504345
g6536.t1	R.varieornatus	HR3	Dev.B3.3	Dev	B3	3	-0.576932145742373
g7221.t1	R.varieornatus	E75	Dev.B3.3	Dev	B3	3	-1.14626053859362
g10224.t1	R.varieornatus	E74	Dev.B3.3	Dev	B3	3	-0.844952714068062
g11712.t1	R.varieornatus	E78	Dev.B3.3	Dev	B3	3	-0.0938839508207654
g11953.t1	R.varieornatus	USP	Dev.B3.3	Dev	B3	3	-0.963599670152748
g11953.t2	R.varieornatus	USP	Dev.B3.3	Dev	B3	3	-0.804244380725145
g12979.t1	R.varieornatus	EcR	Dev.B3.3	Dev	B3	3	0.343269248019504
g13718.t1	R.varieornatus	CYP18A1	Dev.B3.3	Dev	B3	3	-0.498075035213132
g8354.t1	R.varieornatus	EcR	Dev.B3.3	Dev	B3	3	-0.614271454971635
OQV12233.1	H.exemplaris	E74	Dev.B4.1	Dev	B4	1	0.0306307614603269
OQV14243.1	H.exemplaris	HR4	Dev.B4.1	Dev	B4	1	-0.135550492391229
OQV14677.1	H.exemplaris	EcR	Dev.B4.1	Dev	B4	1	-0.835771490625946
OQV14742.1	H.exemplaris	E78	Dev.B4.1	Dev	B4	1	-0.409753029198542
OQV16526.1	H.exemplaris	CYP18A1	Dev.B4.1	Dev	B4	1	-0.27651812503807
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B4.1	Dev	B4	1	-0.533228897378897
OQV18794.1	H.exemplaris	USP	Dev.B4.1	Dev	B4	1	-0.668600679630433
OQV18795.1	H.exemplaris	USP	Dev.B4.1	Dev	B4	1	0.00523006442743741
OQV18927.1	H.exemplaris	E75	Dev.B4.1	Dev	B4	1	-0.27530234546675
OQV21685.1	H.exemplaris	Sad	Dev.B4.1	Dev	B4	1	0.367932332999974
OWA50673.1	H.exemplaris	HR3	Dev.B4.1	Dev	B4	1	-0.163263665711853
OQV23446.1	H.exemplaris	EcR	Dev.B4.1	Dev	B4	1	0.215723854692346
g2273.t1	R.varieornatus	HR4	Dev.B4.1	Dev	B4	1	2.91701664551129
g2400.t1	R.varieornatus	Sad	Dev.B4.1	Dev	B4	1	1.89820876747289
g4792.t1	R.varieornatus	bFtz-F1	Dev.B4.1	Dev	B4	1	3.49164818878978
g6536.t1	R.varieornatus	HR3	Dev.B4.1	Dev	B4	1	3.78410049421756
g7221.t1	R.varieornatus	E75	Dev.B4.1	Dev	B4	1	1.64400848690404
g10224.t1	R.varieornatus	E74	Dev.B4.1	Dev	B4	1	2.27965490071124
g11712.t1	R.varieornatus	E78	Dev.B4.1	Dev	B4	1	0.757074674307893
g11953.t1	R.varieornatus	USP	Dev.B4.1	Dev	B4	1	3.8729049298718
g11953.t2	R.varieornatus	USP	Dev.B4.1	Dev	B4	1	2.25844279821415
g12979.t1	R.varieornatus	EcR	Dev.B4.1	Dev	B4	1	0.241992516067979
g13718.t1	R.varieornatus	CYP18A1	Dev.B4.1	Dev	B4	1	0.125672736507665
g8354.t1	R.varieornatus	EcR	Dev.B4.1	Dev	B4	1	4.4134942676846
OQV12233.1	H.exemplaris	E74	Dev.B4.2	Dev	B4	2	-0.160996116086959
OQV14243.1	H.exemplaris	HR4	Dev.B4.2	Dev	B4	2	-0.0375404776039894
OQV14677.1	H.exemplaris	EcR	Dev.B4.2	Dev	B4	2	-0.882840703613813
OQV14742.1	H.exemplaris	E78	Dev.B4.2	Dev	B4	2	-0.459984250403947
OQV16526.1	H.exemplaris	CYP18A1	Dev.B4.2	Dev	B4	2	0.0261272914846502
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B4.2	Dev	B4	2	-0.624387962195242
OQV18794.1	H.exemplaris	USP	Dev.B4.2	Dev	B4	2	-0.669491128545603
OQV18795.1	H.exemplaris	USP	Dev.B4.2	Dev	B4	2	-0.211892693292724
OQV18927.1	H.exemplaris	E75	Dev.B4.2	Dev	B4	2	-0.668733316281465
OQV21685.1	H.exemplaris	Sad	Dev.B4.2	Dev	B4	2	-0.000772279542803959
OWA50673.1	H.exemplaris	HR3	Dev.B4.2	Dev	B4	2	-0.0254499996494387
OQV23446.1	H.exemplaris	EcR	Dev.B4.2	Dev	B4	2	0.0424239861793331
g2273.t1	R.varieornatus	HR4	Dev.B4.2	Dev	B4	2	1.19416997343232
g2400.t1	R.varieornatus	Sad	Dev.B4.2	Dev	B4	2	1.65267558837114
g4792.t1	R.varieornatus	bFtz-F1	Dev.B4.2	Dev	B4	2	2.27305478702416
g6536.t1	R.varieornatus	HR3	Dev.B4.2	Dev	B4	2	3.26245997487004
g7221.t1	R.varieornatus	E75	Dev.B4.2	Dev	B4	2	0.825455011532197
g10224.t1	R.varieornatus	E74	Dev.B4.2	Dev	B4	2	0.831088615316523
g11712.t1	R.varieornatus	E78	Dev.B4.2	Dev	B4	2	0.668021866713328
g11953.t1	R.varieornatus	USP	Dev.B4.2	Dev	B4	2	1.18636751625553
g11953.t2	R.varieornatus	USP	Dev.B4.2	Dev	B4	2	2.03007645853026
g12979.t1	R.varieornatus	EcR	Dev.B4.2	Dev	B4	2	-0.0309905588518146
g13718.t1	R.varieornatus	CYP18A1	Dev.B4.2	Dev	B4	2	-0.121246159475424
g8354.t1	R.varieornatus	EcR	Dev.B4.2	Dev	B4	2	1.31055034939541
OQV12233.1	H.exemplaris	E74	Dev.B4.3	Dev	B4	3	-0.201851619134433
OQV14243.1	H.exemplaris	HR4	Dev.B4.3	Dev	B4	3	-0.26610611374536
OQV14677.1	H.exemplaris	EcR	Dev.B4.3	Dev	B4	3	-0.866633660667092
OQV14742.1	H.exemplaris	E78	Dev.B4.3	Dev	B4	3	-0.411233414559795
OQV16526.1	H.exemplaris	CYP18A1	Dev.B4.3	Dev	B4	3	-0.291866838085697
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B4.3	Dev	B4	3	-0.527833492906947
OQV18794.1	H.exemplaris	USP	Dev.B4.3	Dev	B4	3	-0.667596369233198
OQV18795.1	H.exemplaris	USP	Dev.B4.3	Dev	B4	3	-0.393668758981388
OQV18927.1	H.exemplaris	E75	Dev.B4.3	Dev	B4	3	-0.689180765108718
OQV21685.1	H.exemplaris	Sad	Dev.B4.3	Dev	B4	3	-0.0785641680249609
OWA50673.1	H.exemplaris	HR3	Dev.B4.3	Dev	B4	3	-0.0837376075451515
OQV23446.1	H.exemplaris	EcR	Dev.B4.3	Dev	B4	3	-0.16993655105933
g2273.t1	R.varieornatus	HR4	Dev.B4.3	Dev	B4	3	1.44847964473038
g2400.t1	R.varieornatus	Sad	Dev.B4.3	Dev	B4	3	1.02673296700597
g4792.t1	R.varieornatus	bFtz-F1	Dev.B4.3	Dev	B4	3	3.1124648637434
g6536.t1	R.varieornatus	HR3	Dev.B4.3	Dev	B4	3	2.17483581591685
g7221.t1	R.varieornatus	E75	Dev.B4.3	Dev	B4	3	1.20208876945174
g10224.t1	R.varieornatus	E74	Dev.B4.3	Dev	B4	3	1.29937263995977
g11712.t1	R.varieornatus	E78	Dev.B4.3	Dev	B4	3	-0.130637748135713
g11953.t1	R.varieornatus	USP	Dev.B4.3	Dev	B4	3	2.18328442398809
g11953.t2	R.varieornatus	USP	Dev.B4.3	Dev	B4	3	1.79048662477807
g12979.t1	R.varieornatus	EcR	Dev.B4.3	Dev	B4	3	-0.274175203385782
g13718.t1	R.varieornatus	CYP18A1	Dev.B4.3	Dev	B4	3	0.202598614835546
g8354.t1	R.varieornatus	EcR	Dev.B4.3	Dev	B4	3	2.3043887246704
OQV12233.1	H.exemplaris	E74	Dev.B5.1	Dev	B5	1	-0.510970262981069
OQV14243.1	H.exemplaris	HR4	Dev.B5.1	Dev	B5	1	-0.217753114029373
OQV14677.1	H.exemplaris	EcR	Dev.B5.1	Dev	B5	1	-0.778879045105302
OQV14742.1	H.exemplaris	E78	Dev.B5.1	Dev	B5	1	-0.337414354660464
OQV16526.1	H.exemplaris	CYP18A1	Dev.B5.1	Dev	B5	1	0.846207365728301
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B5.1	Dev	B5	1	-0.556151239321335
OQV18794.1	H.exemplaris	USP	Dev.B5.1	Dev	B5	1	-0.668713342693056
OQV18795.1	H.exemplaris	USP	Dev.B5.1	Dev	B5	1	-0.155756068916841
OQV18927.1	H.exemplaris	E75	Dev.B5.1	Dev	B5	1	-0.248766555667842
OQV21685.1	H.exemplaris	Sad	Dev.B5.1	Dev	B5	1	-0.929023689140684
OWA50673.1	H.exemplaris	HR3	Dev.B5.1	Dev	B5	1	-0.0937350510711609
OQV23446.1	H.exemplaris	EcR	Dev.B5.1	Dev	B5	1	-0.336233110862758
